129080,Spanish Championship 16764,Standard Game World,25,3,Granada CF,661.4,101.4,36,84.833333333333,0
155711,Spanish Championship 22151,Standard Game World,24,1,Málaga CF,839.5,65.9,33,83.166666666667,0
200764,Spanish Championship 25754,Standard Game World,22,2,Real Madrid,1807.5,699.9,105,94.222222222222,2
200764,Spanish Championship 25754,Standard Game World,22,2,Sevilla,607.6,169.6,44,89.777777777778,0
200764,Spanish Championship 25754,Standard Game World,22,2,Atlético Madrid,1228.3,226.7,39,90.722222222222,0
200764,Spanish Championship 25754,Standard Game World,22,2,Athletic Club,814.6,146.0,48,87.888888888889,0
200764,Spanish Championship 25754,Standard Game World,22,2,RCD Espanyol,749.7,96.4,39,85.833333333333,0
200764,Spanish Championship 25754,Standard Game World,22,2,Valencia CF,1024.4,115.3,33,86.333333333333,0
200764,Spanish Championship 25754,Standard Game World,22,2,Real Betis,738.8,165.2,36,89.111111111111,0
200764,Spanish Championship 25754,Standard Game World,22,2,Celta Vigo,716.4,122.8,38,87.055555555556,0
200764,Spanish Championship 25754,Standard Game World,22,2,CA Osasuna,714.9,115.4,30,87.0,0
200764,Spanish Championship 25754,Standard Game World,22,2,Granada CF,676.8,89.7,35,84.388888888889,0
200764,Spanish Championship 25754,Standard Game World,22,2,Levante UD,756.4,77.9,24,84.388888888889,0
200764,Spanish Championship 25754,Standard Game World,22,2,Rayo Vallecano,649.3,101.6,32,85.611111111111,0
163913,Spanish Championship 23304,Standard Game World,24,22,CA Osasuna,402.1,405.4,47,92.944444444444,2
163913,Spanish Championship 23304,Standard Game World,24,22,Barcelona,604.0,323.7,36,91.888888888889,2
163913,Spanish Championship 23304,Standard Game World,24,22,Valencia CF,505.8,262.7,35,89.833333333333,2
159826,Spanish Championship 22768,Standard Game World,24,5,Atlético Madrid,209.5,722.1,68,94.722222222222,2
159826,Spanish Championship 22768,Standard Game World,24,5,Real Betis,643.4,123.1,38,88.611111111111,0
159826,Spanish Championship 22768,Standard Game World,24,5,Real Sociedad,693.5,179.9,50,88.777777777778,0
159826,Spanish Championship 22768,Standard Game World,24,5,Athletic Club,745.7,160.6,49,88.333333333333,0
159826,Spanish Championship 22768,Standard Game World,24,5,Celta Vigo,760.3,141.4,41,87.722222222222,0
159826,Spanish Championship 22768,Standard Game World,24,5,Valencia CF,848.0,130.7,28,86.611111111111,2
159826,Spanish Championship 22768,Standard Game World,24,5,Levante UD,752.4,81.8,26,84.944444444444,0
